name,ID,treatment_1,treatment_2,treatment_3,control_1,control_2,control_3
bg_199,199,113859838.59312558,349037770.539917,390302484.4298473,341612734.32520777,137271250.2079977,291092439.2554161
bg_200,200,207538420.31924918,44649604.03102011,74077827.03013518,270674350.9926733,54213655.32567685,41565424.72851216
bg_201,201,24601702.08275427,62629921.83793288,287578751.67409116,193707101.99220896,191314171.31585437,148391514.74332398
bg_202,202,106579005.4034493,34569242.200254366,658446311.2866621,92957231.35864413,141255552.4071002,273241444.4884647
bg_203,203,23549216.45794149,118651334.97119008,356362786.84573925,180553252.17632216,161338901.3592679,33932146.302949004
bg_204,204,2205846127.1571836,284983498.8254578,447226298.8346971,141759363.11525416,476494718.13319415,16687536.649129437
bg_205,205,367806375.1230802,440496941.4072009,75213438.51120569,19249745.563939486,674464259.2074872,135976833.97648263
bg_206,206,12629987.09355117,39875406.17605097,68947588.1505382,27673161.21729204,220546695.48124692,391009708.88775563
bg_207,207,474603625.92130107,18595391.713735048,152378230.8992075,170842610.9848946,420075316.20600814,658461723.9554026
bg_208,208,247381517.759104,68171419.47079913,2831601445.7259135,45430967.23231951,19589008.00508859,257358782.44307065
bg_209,209,35795665.57557848,120047319.77275087,663231545.6523558,169819105.1917439,311438043.0787834,9424706.311388396
bg_210,210,308308728.38209766,922492638.7130121,312772010.4905248,3431646487.50912,230277330.4274581,19935659.661531847
bg_211,211,30282489.299008828,58441989.220650755,8182870.392065098,717884986.9528396,25732344.74769181,667363678.549779
bg_212,212,67540651.36967927,176762542.70371798,16469421.073656509,133574260.84553662,65565743.34322378,154613972.97420427
bg_213,213,409363718.55626714,283980877.89952886,74770459.69333778,51737219.67881602,3717580.859026758,493510159.762964
bg_214,214,65124372.54341572,14485866.96627925,6955998.31339383,3576446110.9916267,188407175.88158384,170689414.41600996
bg_215,215,83577310.03447792,74290306.15921156,16222281.891352085,336059104.18531597,63298957.04034987,11028307.922518171
bg_216,216,561654180.4906081,163527145.39566705,8727327947.077553,159305075.36856794,50823993.33138533,360567805.8959708
bg_217,217,109758227.375606,186430410.62975124,171138841.4355428,3576446116.580257,1021197497.0350593,723387150.228288
bg_218,218,141098736.57775754,48419311.16140132,416742183.3117074,30921947.829554323,315895557.5556692,51209409.28385784
bg_219,219,6168877712.7038355,17114718.844758805,167861021.74980015,238046737.0579579,1966549963.145283,291080547.0851274
bg_220,220,16545071.278960204,676149716.9855607,12378520.372743148,9017635.055184746,60044956.471688725,522899119.2586186
bg_221,221,549237730.4220802,158662478.66697648,65788915.850039825,847595421.7266763,352787205.85272884,110262888.00187074
bg_222,222,67973821.99815167,2698870302.655174,219894881.4514401,486675834.81075555,413105387.75176716,46907103.096277244
bg_223,223,290054170.6087508,189045603.39369556,8727327942.124859,140505397.8371027,100482895.83554453,70674275.60848068
bg_224,224,287964494.6790716,315347553.60327345,188124214.86310247,331095188.47167015,89493144.56903523,111555623.8528362
bg_225,225,77787703.62349965,58028285.32444154,245895873.97459608,816907196.8554436,1065545572.9773403,297774066.1929622
bg_226,226,116359321.40316787,16398614.711274242,277301019.42076564,724343672.9942095,450409509.524235,60009247.80690447
bg_227,227,329886351.70157814,158454148.2175955,327681532.0686898,39218151.61188658,220114166.18227002,356725169.1915507
bg_228,228,30540842.418810077,147134426.4866718,377599189.8339921,72020501.42766473,72564526.62169787,57838386.43067872
bg_229,229,13476543.510185124,287675954.2309852,233610928.36790046,6594991.430253138,219079137.84654453,20255702.921936117
bg_230,230,420967158.77343816,9429212.900058016,116479740.39354438,497118547.5715377,187256568.6025825,73546579.46008353
bg_231,231,54236541.66756076,596899726.6240318,317899820.7202943,413884372.05297977,91635191.32775477,1954637795.933897
bg_232,232,24910235.482057825,255663587.42759192,19333932.937831428,660405435.112672,15660741.871344535,489898152.0525416
bg_233,233,107473368.67827567,54175724.07056362,166205340.47034565,30819389.58917126,24250070.574946888,346148909.5562347
bg_234,234,309850084.53197217,53111928.365304574,214431854.91128072,183609549.27890217,34023757.81384164,62673455.70831392
bg_235,235,111111401.99319246,109023910.88229679,143579207.2447535,7047550.916131436,71010366.55131494,178081771.56979436
bg_236,236,38507701.40758819,36886678.56923759,81271085.05128515,978131110.3715025,492662799.5245328,107541138.80245057
bg_237,237,81281040.22523853,97417093.33160888,15080186.904671488,215315502.32769534,173431788.55410525,107254277.43128997
bg_238,238,21172938.107834384,177706691.18337265,25854209.36227294,107016052.89643772,28968382.173625093,17380219.99974419
bg_239,239,17749858.133201372,353262308.35405695,110894989.22044684,652384496.8850954,380212449.3057883,1117560624.9375603
bg_240,240,130339590.73090006,233271499.3857176,12666389.779975453,92808218.19006148,70058170.62574984,1118458618.1271973
bg_241,241,247420917.04585353,147450767.72269413,438494397.2759911,19325078.561839722,101138622.71630996,550696767.7893703
bg_242,242,82926489.95648603,521047565.39049846,795995127.6150753,475126580.4568257,101468218.72196172,70674275.60848068
bg_243,243,91868827.8872989,53130659.56265065,173059147.14754415,24999254.84582501,359715678.9310599,281335425.32848096
bg_244,244,132542190.58451135,223991595.89614102,135962511.96206528,115159156.10641629,90695461.33897406,52205003.03746209
bg_245,245,612035403.5629797,263584393.65944558,288443168.18224543,259450442.94789463,79961339.97017062,28676860.470762223
bg_246,246,43102271.34835052,6011473.003398741,170090665.16034952,750975212.7336136,2185986151.5889926,222183830.72470877
bg_247,247,675042494.7011478,552927763.4978763,129590944.42869547,3431646485.7006526,84497418.93546769,349434761.4174425
bg_248,248,168010365.52652183,130490063.46465677,8727327930.681534,75734525.13107681,41754991.276162475,385974124.66028935
bg_249,249,44153526.38852545,780392703.9093385,52287607.02930907,125287187.70040384,112081991.4394176,197909016.2292464
bg_250,250,1434688838.0071836,120537664.15012912,897352000.1425501,3431646487.685354,45178857.27140304,797043792.4435785
bg_251,251,729209819.499697,396001894.71465325,7718947.011472796,39995697.53962344,33623223.09302619,148391514.74332398
bg_252,252,626878138.7040641,1217623616.2072241,357561647.1489932,353283856.3389972,16290432.657598943,42193014.45320642
