,ID,Name,Formula,Compartment,Charge
69,drib_c,2-Deoxy-D-Ribose,C5H10O4,c,0
70,nadh_c,Nicotinamide Adenine Dinucleotide - Reduced,C21H27N7O14P2,c,-2
71,nad_c,Nicotinamide Adenine Dinucleotide,C21H27N7O14P2,c,0
72,2hb_c,2-Hydroxybutyrate,C4H7O3,c,-1
73,2obut_c,2-Oxobutanoate,C4H5O3,c,-1
74,h_e,Proton,H,e,1
75,2hb_e,2-Hydroxybutyrate,C4H7O3,e,-1
76,hco3_e,Bicarbonate,CHO3,e,-1
77,hco3_c,Bicarbonate,CHO3,c,-1
78,na1_e,Sodium,Na,e,1
79,na1_c,Sodium,Na,c,1
80,2mcit_c,2-Methylcitrate,C7H7O7,c,-3
81,2mcit_e,2-Methylcitrate,C7H7O7,e,-3
82,nadh_m,Nicotinamide Adenine Dinucleotide - Reduced,C21H27N7O14P2,m,-2
83,nad_m,Nicotinamide Adenine Dinucleotide,C21H27N7O14P2,m,0
84,2oxoadp_m,2-Oxoadipate,C6H6O5,m,-2
85,coa_m,Coenzyme A,C21H32N7O16P3S,m,-4
86,co2_m,Carbon Dioxide,CO2,m,0
87,glutcoa_m,Glutaryl Coenzyme A,C26H37N7O19P3S,m,-5
88,2oxoadp_c,2-Oxoadipate,C6H6O5,c,-2
89,34dhmald_c,"3,4-Dihydroxymandelaldehyde",C8H8O4,c,0
90,34dhoxpeg_c,"3,4-Dihydroxyphenylethyleneglycol",C8H10O4,c,0
91,34dhoxpeg_e,"3,4-Dihydroxyphenylethyleneglycol",C8H10O4,e,0
92,34dhpha_c,"(3,4-Dihydroxyphenyl)Acetate",C8H7O4,c,-1
93,amet_c,S-Adenosyl-L-Methionine,C15H24N6O5S,c,2
94,ahcys_c,S-Adenosyl-L-Homocysteine,C14H20N6O5S,c,0
95,homoval_c,Homovanillate,C9H9O4,c,-1
96,34dhphe_e,L-Dopa,C9H11NO4,e,0
97,34dhphe_c,L-Dopa,C9H11NO4,c,0
98,34dhpac_c,"3,4-Dihydroxyphenylacetaldehyde",C8H8O3,c,0
99,34dhoxmand_c,"3,4-Dihydroxymandelate",C8H7O5,c,-1
100,34hpp_m,3-(4-Hydroxyphenyl)Pyruvate,C9H7O4,m,-1
101,34hpl_m,3-(4-Hydroxyphenyl)Lactate,C9H9O4,m,-1
102,co2_c,Carbon Dioxide,CO2,c,0
103,34hpp_c,3-(4-Hydroxyphenyl)Pyruvate,C9H7O4,c,-1
104,hgentis_c,Homogentisate,C8H7O4,c,-1
105,35cgmp_c,"3,5-Cyclic Guanosine Monophosphate",C10H11N5O7P,c,-1
106,35cgmp_n,"3,5-Cyclic Guanosine Monophosphate",C10H11N5O7P,n,-1
107,3aib_m,(S)-3-Aminoisobutyric Acid,C4H9NO2,m,0
108,2mop_m,2-Methyl-3-Oxopropanoate,C4H5O3,m,-1
109,glu_L_m,L-Glutamate,C5H8NO4,m,-1
110,3aib_c,(S)-3-Aminoisobutyric Acid,C4H9NO2,c,0
111,3dphb_m,3-Decaprenyl-4-Hydroxybenzoate,C57H85O3,m,-1
112,3dpdhb_m,"3-Decaprenyl-4,5-Dihdydroxybenzoate",C57H85O4,m,-1
113,3dsphgn_c,(2S)-1-Hydroxy-3-Oxooctadecan-2-Aminium,C18H38NO2,c,1
114,sphgn_c,Sphinganine,C18H40NO2,c,1
115,3hanthrn_c,3-Hydroxyanthranilate,C7H6NO3,c,-1
116,cmusa_c,"Cis,Cis-2-Amino-3-(3-Oxoprop-1-Enyl)But-2-Enedioate",C7H6NO5,c,-1
117,b2coa_m,Crotonoyl Coenzyme A,C25H36N7O17P3S,m,-4
118,3hbcoa_R_m,(R)-3-Hydroxybutanoyl Coenzyme A,C25H38N7O18P3S,m,-4
119,3hibutcoa_m,(S)-3-Hydroxyisobutyryl Coenzyme A,C25H38N7O18P3S,m,-4
120,3hmp_m,3-Hydroxy-2-Methylpropanoate,C4H7O3,m,-1
121,glu_L_c,L-Glutamate,C5H8NO4,c,-1
122,hLkynr_c,3-Hydroxy-L-Kynurenine,C10H12N2O4,c,0
123,42A3HP24DB_c,"4-(2-Amino-3-Hydroxyphenyl)-2,4-Dioxobutanoate",C10H8NO5,c,-1
124,dopa_c,Dopamine,C8H12NO2,c,1
125,coa_c,Coenzyme A,C21H32N7O16P3S,c,-4
126,3hpp_c,3-Hydroxypropionate,C3H5O3,c,-1
127,3mox4hpac_c,(4-Hydroxy-3-Methoxyphenyl)Acetaldehyde,C9H10O3,c,0
128,3mlda_c,3-Methylimidazoleacetic Acid,C6H7N2O2,c,-1
129,3mlda_e,3-Methylimidazoleacetic Acid,C6H7N2O2,e,-1
130,3mob_c,3-Methyl-2-Oxobutanoate,C5H7O3,c,-1
131,3mob_m,3-Methyl-2-Oxobutanoate,C5H7O3,m,-1
132,3mop_c,3-Methyl-2-Oxopentanoate,C6H9O3,c,-1
133,3mop_m,3-Methyl-2-Oxopentanoate,C6H9O3,m,-1
134,3m4hpga_c,3-Methoxy-4-Hydroxyphenylglycolaldehyde,C9H10O4,c,0
135,3mox4hoxm_c,3-Methoxy-4-Hydroxymandelate,C9H9O5,c,-1
136,3moxtyr_c,3-Methoxytyramine,C9H14NO2,c,1
137,h2o_l,Water,H2O,l,0
138,pi_l,Orthophosphate,HO4P,l,-2
139,adn_l,Adenosine,C10H13N5O4,l,0
140,3sala_m,3-Sulfino-L-Alanine,C3H6NO4S,m,-1
141,3sala_c,3-Sulfino-L-Alanine,C3H6NO4S,c,-1
142,asp_L_c,L-Aspartate,C4H6NO4,c,-1
143,asp_L_m,L-Aspartate,C4H6NO4,m,-1
144,hyptaur_c,Hypotaurine,C2H7NO2S,c,0
145,3snpyr_c,3-Sulfinopyruvate,C3H2O5S,c,-2
146,3snpyr_m,3-Sulfinopyruvate,C3H2O5S,m,-2
147,so3_c,Sulfite,HO3S,c,-1
148,pyr_m,Pyruvate,C3H3O3,m,-1
149,so3_m,Sulfite,HO3S,m,-1
150,adrnl_c,Adrenaline,C9H14NO3,c,1
151,mma_c,Methylammonium,CH6N,c,1
152,nrpphr_c,Norepinephrine,C8H12NO3,c,1
153,4abut_c,4-Aminobutanoate,C4H9NO2,c,0
154,4abut_m,4-Aminobutanoate,C4H9NO2,m,0
155,coucoa_m,P-Coumaroyl Coenzyme A,C30H38N7O18P3S,m,-4
156,4hbzcoa_m,4-Hydroxybenzoyl Coenzyme A,C28H36N7O18P3S,m,-4
157,accoa_m,Acetyl Coenzyme A,C23H34N7O17P3S,m,-4
158,4hbz_m,4-Hydroxybenzoate,C7H5O3,m,-1
159,4hdebrisoquine_e,4-Hydroxy Debrisoquine,C10H14N3O,e,1
160,4hdebrisoquine_c,4-Hydroxy Debrisoquine,C10H14N3O,c,1
161,4hglusa_m,L-4-Hydroxyglutamic Semialdehyde,C5H9NO4,m,0
162,e4hglu_m,Erythro-4-Hydroxy-L-Glutamate,C5H8NO5,m,-1
163,4hoxpacd_c,(4-Hydroxyphenyl)Acetaldehyde,C8H8O2,c,0
164,4hphac_c,4-Hydroxyphenylacetate,C8H7O3,c,-1
165,4mop_c,4-Methyl-2-Oxopentanoate,C6H9O3,c,-1
166,4mop_m,4-Methyl-2-Oxopentanoate,C6H9O3,m,-1
167,4mptnl_c,4-Methylpentanal,C6H12O,c,0
168,4mptnl_e,4-Methylpentanal,C6H12O,e,0
169,4mptnl_m,4-Methylpentanal,C6H12O,m,0
170,4mtolbutamide_e,4-Hydroxy Tolbutamide,C12H17N2O4S,e,-1
171,4mtolbutamide_c,4-Hydroxy Tolbutamide,C12H17N2O4S,c,-1
172,4nphsf_e,4-Nitrophenyl Sulfate,C6H4NO6S,e,-1
173,4nphsf_c,4-Nitrophenyl Sulfate,C6H4NO6S,c,-1
174,4nph_c,4-Nitrophenolate,C6H5NO3,c,0
175,4nph_e,4-Nitrophenolate,C6H5NO3,e,0
176,4pyrdx_c,4-Pyridoxate,C8H8NO4,c,-1
177,4pyrdx_e,4-Pyridoxate,C8H8NO4,e,-1
178,5adtststeroneglc_c,5Alpha-Dihydrotestosterone Glucuronide,C25H37O8,c,-1
179,5adtststeroneglc_e,5Alpha-Dihydrotestosterone Glucuronide,C25H37O8,e,-1
180,5adtststeroneglc_r,5Alpha-Dihydrotestosterone Glucuronide,C25H37O8,r,-1
181,5adtststerones_c,5Alpha-Dihydrotestosterone Sulfate,C19H29O5S,c,-1
182,5adtststerones_e,5Alpha-Dihydrotestosterone Sulfate,C19H29O5S,e,-1
183,5adtststerone_c,17Beta-Hydroxy-5Alpha-Androstan-3-One,C19H30O2,c,0
184,5adtststerone_e,17Beta-Hydroxy-5Alpha-Androstan-3-One,C19H30O2,e,0
185,5adtststerone_r,17Beta-Hydroxy-5Alpha-Androstan-3-One,C19H30O2,r,0
186,5aop_c,5-Amino-4-Oxopentanoate,C5H9NO3,c,0
187,5aop_m,5-Amino-4-Oxopentanoate,C5H9NO3,m,0
188,5dhf_c,Pentaglutamyl Folate (Dhf),C39H48N11O18,c,-1
189,5dhf_l,Pentaglutamyl Folate (Dhf),C39H48N11O18,l,-1
190,h2o_e,Water,H2O,e,0
191,5fthf_e,5-Formyltetrahydrofolate,C20H21N7O7,e,-2
192,5fthf_c,5-Formyltetrahydrofolate,C20H21N7O7,c,-2
193,5htrp_c,5-Hydroxy-L-Tryptophan,C11H12N2O3,c,0
194,srtn_c,Serotonin,C10H13N2O,c,1
195,5homeprazole_e,5-Hydroxy Omeprazole,C17H19N3O4S,e,0
196,5homeprazole_c,5-Hydroxy Omeprazole,C17H19N3O4S,c,0
197,5hoxindact_c,(5-Hydroxyindol-3-Yl)Acetaldehyde,C10H9NO2,c,0
198,5hoxindoa_c,5-Hydroxyindoleacetate,C10H8NO3,c,-1
199,5htrp_e,5-Hydroxy-L-Tryptophan,C11H12N2O3,e,0
200,5mthf_e,5-Methyltetrahydrofolate,C20H23N7O6,e,-2
201,5mthf_c,5-Methyltetrahydrofolate,C20H23N7O6,c,-2
202,5thf_c,Pentaglutamyl Folate (Thf),C39H50N11O18,c,-1
203,5thf_l,Pentaglutamyl Folate (Thf),C39H50N11O18,l,-1
204,5thf_m,Pentaglutamyl Folate (Thf),C39H50N11O18,m,-1
205,6dhf_c,Hexaglutamyl Folate (Dhf),C44H55N12O21,c,-1
206,6dhf_l,Hexaglutamyl Folate (Dhf),C44H55N12O21,l,-1
207,6dhf_m,Hexaglutamyl Folate (Dhf),C44H55N12O21,m,-1
208,6htststerone_c,6-Beta-Hydroxy Testosterone,C19H28O3,c,0
209,6htststerone_e,6-Beta-Hydroxy Testosterone,C19H28O3,e,0
210,6htststerone_r,6-Beta-Hydroxy Testosterone,C19H28O3,r,0
211,6thf_c,Hexaglutamyl Folate (Thf),C44H57N12O21,c,-1
212,6thf_l,Hexaglutamyl Folate (Thf),C44H57N12O21,l,-1
213,6thf_m,Hexaglutamyl Folate (Thf),C44H57N12O21,m,-1
214,7dhchsterol_r,"Cholesta-5,7-Dien-3Beta-Ol",C27H44O,r,0
215,7dhchsterol_c,"Cholesta-5,7-Dien-3Beta-Ol",C27H44O,c,0
216,7dhf_c,Heptaglutamyl Folate (Dhf),C49H62N13O24,c,-1
217,7dhf_l,Heptaglutamyl Folate (Dhf),C49H62N13O24,l,-1
218,7dhf_m,Heptaglutamyl Folate (Dhf),C49H62N13O24,m,-1
219,7thf_c,Heptaglutamyl Folate (Thf),C49H64N13O24,c,-1
220,7thf_l,Heptaglutamyl Folate (Thf),C49H64N13O24,l,-1
221,7thf_m,Heptaglutamyl Folate (Thf),C49H64N13O24,m,-1
222,man_c,D-Mannose,C6H12O6,c,0
223,m2mn_l,(Alpha-D-Mannosyl)2-Beta-D-Mannosyl-N-Acetylglucosamine,C26H45NO21,l,0
224,man_l,D-Mannose,C6H12O6,l,0
225,mn_l,"Beta-1,4-Mannose-N-Acetylglucosamine",C14H25NO11,l,0
226,galgluside_hs_c,Galactosyl Glucosyl Ceramide,C48H93NO8,c,0
227,udpgal_c,Uridine-5'-Diphosphate-D-Galactose,C15H22N2O17P2,c,-2
228,thcrm_hs_c,Trihexosyl Ceramide,,c,0
229,udp_c,Uridine Diphosphate,C9H12N2O12P2,c,-2
230,h_g,Proton,H,g,1
231,galgluside_hs_g,Galactosyl Glucosyl Ceramide,C48H93NO8,g,0
232,udpgal_g,Uridine-5'-Diphosphate-D-Galactose,C15H22N2O17P2,g,-2
233,thcrm_hs_g,Trihexosyl Ceramide,,g,0
234,udp_g,Uridine Diphosphate,C9H12N2O12P2,g,-2
235,T_antigen_g,T-Antigen (Core 1),,g,0
236,uacgam_g,Uridine-5'-Diphosphate-N-Acetyl-Alpha-D-Glucosamine,C17H25N3O17P2,g,-2
237,gncore1_g,"GlcNac-Alpha-1,4-Core 1",C22H37N2O15X,g,0
238,core2_g,Core 2,,g,0
239,gncore2_g,"GlcNac-Alpha-1,4-Core 2",C30H50N3O20X,g,0
240,aact_c,Ammonioacetone,C3H8NO,c,1
241,mthgxl_c,Methylglyoxal,C3H4O2,c,0
242,aact_m,Ammonioacetone,C3H8NO,m,1
243,L2aadp6sa_m,L-Allysine,C6H11NO3,m,0
244,fucgalacglcgalgluside_hs_g,Type Ih Glycolipid,,g,0
245,udpacgal_g,Uridine-5'-Diphosphate-N-Acetyl-D-Galactosamine,C17H25N3O17P2,g,-2
246,acgalfucgalacglcgalgluside_hs_g,Type Ia Glycolipid,,g,0
247,galfucgalacglcgalgluside_hs_g,Gal-Alpha1->3(Fuc-Alpha1->2)Gal-Beta1->3GlcNac-Beta1->3LacCer,,g,0
248,fuc12gal14acglcgalgluside_hs_g,Type Iih Glycolipid,,g,0
249,galfuc12gal14acglcgalgluside_hs_g,(Gal)3 (Glc)1 (GlcNac)1 (LFuc)1 (Cer)1,C56H99N2O31FULLRCO,g,0
250,acgalfuc12gal14acglcgalgluside_hs_g,(Gal)2 (GalNac)1 (Glc)1 (GlcNac)1 (LFuc)1 (Cer)1,C58H102N3O31FULLRCO,g,0
251,fucgalacgalfuc12gal14acglcgalgluside_hs_g,Type Iiih Glycolipid,,g,0
252,acgalfucgalacgalfuc12gal14acglcgalgluside_hs_g,Type Iiia Glycolipid,,g,0
253,fucgalacglcgal14acglcgalgluside_hs_g,Vi2Fuc-Nlc6,,g,0
254,acgalfucgalacglcgal14acglcgalgluside_hs_g,(Gal)3 (GalNac)1 (Glc)1 (GlcNac)2 (LFuc)1 (Cer)1,,g,0
255,fucgalacgalfucgalacglcgal14acglcgalgluside_hs_g,(Gal)4 (GalNac)1 (Glc)1 (GlcNac)2 (LFuc)2 (Cer)1,X,g,0
256,acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_g,Type Iiiab,C92H158N5O55FULLRCO,g,0
257,galfucgalacglcgal14acglcgalgluside_hs_g,(Gal)4 (Glc)1 (GlcNac)2 (LFuc)1 (Cer)1,,g,0
258,fucfucgalacglcgalacglcgal14acglcgalgluside_hs_g,(Gal)4 (Glc)1 (GlcNac)3 (LFuc)2 (Cer)1,,g,0
259,galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs_g,(Gal)6 (Glc)1 (GlcNac)3 (LFuc)2 (Cer)1,,g,0
260,sucsal_m,Succinic Semialdehyde,C4H5O3,m,-1
261,abt_c,L-Arabinitol,C5H12O5,c,0
262,xylu_L_c,L-Xylulose,C5H10O5,c,0
263,abt_e,L-Arabinitol,C5H12O5,e,0
264,h_l,Proton,H,l,1
265,4abut_l,4-Aminobutanoate,C4H9NO2,l,0
266,4abut_e,4-Aminobutanoate,C4H9NO2,e,0
267,2maacoa_m,2-Methylacetoacetyl Coenzyme A,C26H38N7O18P3S,m,-4
268,ppcoa_m,Propanoyl Coenzyme A,C24H36N7O17P3S,m,-4
269,aacoa_m,Acetoacetyl Coenzyme A,C25H36N7O18P3S,m,-4
270,coa_x,Coenzyme A,C21H32N7O16P3S,x,-4
271,accoa_x,Acetyl Coenzyme A,C23H34N7O17P3S,x,-4
272,aacoa_x,Acetoacetyl Coenzyme A,C25H36N7O18P3S,x,-4
273,acac_c,Acetoacetate,C4H5O3,c,-1
274,acac_m,Acetoacetate,C4H5O3,m,-1
275,3odcoa_x,3-Oxodecanoyl Coenzyme A,C31H48N7O18P3S,x,-4
276,occoa_x,Octanoyl Coenzyme A (N-C8:0 Coenzyme A),C29H46N7O17P3S,x,-4
277,3oddcoa_x,3-Oxododecanoyl Coenzyme A,C33H52N7O18P3S,x,-4
278,dcacoa_x,Decanoyl Coenzyme A (N-C10:0 Coenzyme A),C31H50N7O17P3S,x,-4
279,3otdcoa_x,3-Oxotetradecanoyl Coenzyme A,C35H56N7O18P3S,x,-4
280,ddcacoa_x,Lauroyl Coenzyme A,C33H54N7O17P3S,x,-4
281,3ohdcoa_x,3-Oxopalmitoyl Coenzyme A,C37H60N7O18P3S,x,-4
282,tdcoa_x,Myristoyl Coenzyme A,C35H58N7O17P3S,x,-4
283,3ohodcoa_x,3-Oxooctadecanoyl Coenzyme A,C39H64N7O18P3S,x,-4
284,pmtcoa_x,Palmitoyl Coenzyme A (N-C16:0 Coenzyme A),C37H62N7O17P3S,x,-4
285,3ohxccoa_x,3-Oxohexacosyl Coenzyme A,C47H80N7O18P3S,x,-4
286,ttccoa_x,Tetracosanoyl Coenzyme A,C45H78N7O17P3S,x,-4
287,acac_x,Acetoacetate,C4H5O3,x,-1
288,acald_m,Acetaldehyde,C2H4O,m,0
289,acald_c,Acetaldehyde,C2H4O,c,0
290,acald_r,Acetaldehyde,C2H4O,r,0
291,acald_x,Acetaldehyde,C2H4O,x,0
292,atp_m,Adenosine Triphosphate,C10H13N5O13P3,m,-3
293,adp_m,Adenosine Diphosphate,C10H13N5O10P2,m,-2
294,pi_m,Orthophosphate,HO4P,m,-2
295,hco3_m,Bicarbonate,CHO3,m,-1
296,malcoa_m,Malonyl Coenzyme A,C24H33N7O19P3S,m,-5
297,accoa_c,Acetyl Coenzyme A,C23H34N7O17P3S,c,-4
298,accoa_g,Acetyl Coenzyme A,C23H34N7O17P3S,g,-4
299,amp_m,Adenosine Monophosphate,C10H12N5O7P,m,-2
300,ppi_m,Diphosphate,HO7P2,m,-3
301,ppa_m,Propionate,C3H5O2,m,-1
302,accoa_n,Acetyl Coenzyme A,C23H34N7O17P3S,n,-4
303,accoa_r,Acetyl Coenzyme A,C23H34N7O17P3S,r,-4
304,acetone_e,Acetone,C3H6O,e,0
305,acetone_c,Acetone,C3H6O,c,0
306,acetone_m,Acetone,C3H6O,m,0
307,acgagbside_hs_c,Alpha-GalNac-Globoside,C52H92N3O27FULLRCO,c,0
308,acgagbside_hs_g,Alpha-GalNac-Globoside,C52H92N3O27FULLRCO,g,0
309,acgagbside_hs_l,Alpha-GalNac-Globoside,C52H92N3O27FULLRCO,l,0
310,acgalfucgalacgalfuc12gal14acglcgalgluside_hs_e,Type Iiia Glycolipid,,e,0
311,acgalfucgalacgalfuc12gal14acglcgalgluside_hs_c,Type Iiia Glycolipid,,c,0
312,acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_e,Type Iiiab,C92H158N5O55FULLRCO,e,0
313,acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_c,Type Iiiab,C92H158N5O55FULLRCO,c,0
314,acgal_c,N-Acetyl-D-Galactosamine,C8H15NO6,c,0
315,acgal1p_c,N-Acetyl-D-Galactosamine 1-Phosphate,C8H14NO9P,c,-2
316,itp_c,Iinosine-5'-Triphosphate,C10H12N4O14P3,c,-3
317,idp_c,Inosine-5'-Diphosphate,C10H12N4O11P2,c,-2
318,acgal_g,N-Acetyl-D-Galactosamine,C8H15NO6,g,0
319,acgal_l,N-Acetyl-D-Galactosamine,C8H15NO6,l,0
320,gam6p_c,D-Glucosamine-6-Phosphate,C6H13NO8P,c,-1
321,acgam6p_c,N-Acetyl-D-Glucosamine 6-Phosphate,C8H14NO9P,c,-2
322,acgam_c,N-Acetyl-D-Glucosamine,C8H15NO6,c,0
323,acgam1p_c,N-Acetyl-D-Glucosamine 1-Phosphate,C8H14NO9P,c,-2
324,acgam_l,N-Acetyl-D-Glucosamine,C8H15NO6,l,0
325,acgbgbside_hs_c,Beta-GalNac-Globoside,C16H17N2O4S,c,-1
326,acgbgbside_hs_g,Beta-GalNac-Globoside,C16H17N2O4S,g,-1
327,acgbgbside_hs_l,Beta-GalNac-Globoside,C16H17N2O4S,l,-1
328,acgpail_hs_c,6-(N-Acetyl-Alpha-D-Glucosaminyl)-1-Phosphatidyl-1D-Myo-Inositol,,c,0
329,ac_c,Acetate,C2H3O2,c,-1
330,gpail_hs_c,D-Glucosaminylphosphatidylinositol,,c,0
331,acglu_m,N-Acetyl-L-Glutamate,C7H9NO5,m,-2
332,ac_e,Acetate,C2H3O2,e,-1
333,ach_e,Acetylcholine,C7H16NO2,e,1
334,chol_e,Choline,C5H14NO,e,1
335,ach_n,Acetylcholine,C7H16NO2,n,1
336,ach_c,Acetylcholine,C7H16NO2,c,1
337,cit_c,Citrate,C6H5O7,c,-3
338,oaa_c,Oxaloacetate,C4H2O5,c,-2
339,acn13acngalgbside_hs_c,"Sialyl-(1,3)-Sialyl-(2,6)-Galactosylgloboside",C72H121N4O43FULLRCO,c,-2
340,acn13acngalgbside_hs_e,"Sialyl-(1,3)-Sialyl-(2,6)-Galactosylgloboside",C72H121N4O43FULLRCO,e,-2
341,acn13acngalgbside_hs_g,"Sialyl-(1,3)-Sialyl-(2,6)-Galactosylgloboside",C72H121N4O43FULLRCO,g,-2
342,acn23acngalgbside_hs_c,"Salyl-(2,3)-Sialyl-(2,6)-Galactosylgloboside",C72H121N4O43FULLRCO,c,-2
343,acn23acngalgbside_hs_e,"Salyl-(2,3)-Sialyl-(2,6)-Galactosylgloboside",C72H121N4O43FULLRCO,e,-2
344,acn23acngalgbside_hs_g,"Salyl-(2,3)-Sialyl-(2,6)-Galactosylgloboside",C72H121N4O43FULLRCO,g,-2
345,acnacngal14acglcgalgluside_hs_e,"3',8'-LD1",C66H111N4O38FULLRCO,e,-2
346,acnacngal14acglcgalgluside_hs_c,"3',8'-LD1",C66H111N4O38FULLRCO,c,-2
347,acnacngal14acglcgalgluside_hs_g,"3',8'-LD1",C66H111N4O38FULLRCO,g,-2
348,acnacngalgbside_hs_c,Disialyl-Galactosylgloboside,C72H121N4O43FULLRCO,c,-2
349,acnacngalgbside_hs_e,Disialyl-Galactosylgloboside,C72H121N4O43FULLRCO,e,-2
350,acnacngalgbside_hs_g,Disialyl-Galactosylgloboside,C72H121N4O43FULLRCO,g,-2
351,acmanap_c,N-Acetyl-D-Mannosamine 6-Phosphate,C8H14NO9P,c,-2
