,ID,Name,Reaction,Flux,Sensitivity
23,EX_bhb(e),(R)-3-Hydroxybutanoate transport via H+ symport,bhb[e] --> ,0.0,-43.76754716981109
24,EX_btn(e),Biotin exchange,btn[e] --> ,0.0,0.49999999999996725
25,EX_co2(e),CO2 exchange,co2[e] <=> ,32.407799999999845,0.0
26,EX_crn(e),L-Carnitine exchange,crn[e] --> ,0.0,64.46547169811286
27,EX_cyan(e),Hydrogen cyanide exchange,cyan[e] <=> ,0.0,-1.4026051022936705e-15
28,EX_cys-L(e),L-Cysteine exchange,cys-L[e] --> ,0.0,-16.09018867924518
29,EX_duri(e),Deoxyuridine exchange,duri[e] --> ,0.0,0.0
30,EX_etoh(e),Ethanol exchange,etoh[e] --> ,0.0,-35.617735849056416
31,EX_fe2(e),Fe2+ exchange,fe2[e] <=> ,0.0,-0.0
32,EX_glc(e),D-Glucose exchange,glc-D[e] <-- ,-5.4013,0.0
33,EX_gln-L(e),L-Glutamine exchange,gln-L[e] --> ,0.0,0.0
34,EX_glu-L(e),L-Glutamate exchange,glu-L[e] --> ,0.0,0.0
35,EX_gly(e),Glycine exchange,gly[e] --> ,5.845204632888506e-14,0.0
36,EX_glyc(e),Glycerol exchange,glyc[e] --> ,0.0,-0.0
37,EX_h(e),H+ exchange,h[e] <=> ,1.413532540110004e-13,3.3280069439011436e-31
38,EX_h2o(e),H2O exchange,h2o[e] <=> ,32.407800000000066,0.0
39,EX_h2o2(e),Hydrogen peroxide exchange,h2o2[e] --> ,0.0,-1.915134717478395e-14
40,EX_hco3(e),Bicarbonate exchange,hco3[e] <=> ,0.0,0.0
41,EX_ile-L(e),L-Isoleucine exchange,ile-L[e] --> ,0.0,-53.0901886792449
42,EX_k(e),K+ exchange,k[e] <=> ,0.0,0.0
43,EX_lac-D(e),D-lactate exchange,lac-D[e] --> ,0.0,4.999999999999962
44,EX_lac-L(e),L-Lactate exchange,lac-L[e] --> ,0.0,-31.999999999999808
45,EX_leu-L(e),L-Leucine exchange,leu-L[e] --> ,0.0,-58.70094339622612
46,EX_lys-L(e),L-Lysine exchange,lys-L[e] --> ,0.0,-38.180377358490375
47,EX_na1(e),Sodium exchange,na1[e] <=> ,-1.7053025658242404e-13,0.0
48,EX_nh4(e),Ammonia exchange,nh4[e] <-- ,0.0,13.409811320754597
49,EX_o2(e),O2 exchange,o2[e] <-- ,-32.4077999999999,0.0
50,EX_o2s(e),Superoxide anion exchange,o2s[e] --> ,0.0,-0.4999999999999896
51,EX_orn(e),Ornithine exchange,orn[e] --> ,0.0,-25.99698113207529
52,EX_pe_hs(e),phosphatidylethanolamine (homo sapiens) exchange,pe_hs[e] --> ,0.0,2.9022641509434237
53,EX_pi(e),Phosphate exchange,pi[e] <=> ,1.1010267516177244e-14,0.0
54,EX_ppa(e),Propionate exchange,ppa[e] --> ,0.0,-30.893773584905404
55,EX_pro-L(e),L-Proline exchange,pro-L[e] --> ,0.0,-38.590188679245024
56,EX_ps_hs(e),phosphatidylserine (homo sapiens) exchange,ps_hs[e] --> ,0.0,0.0
57,EX_pyr(e),Pyruvate exchange,pyr[e] --> ,0.0,-24.55962264150928
58,EX_sarcs(e),Sarcosine exchange,sarcs[e] --> ,0.0,-12.193396226415011
59,EX_ser-L(e),L-Serine exchange,ser-L[e] --> ,0.0,-8.409811320754649
60,EX_so4(e),Sulfate exchange,so4[e] <=> ,0.0,0.0
61,EX_tcynt(e),Thiocyanate exchange,tcynt[e] <=> ,0.0,0.0
62,EX_thymd(e),Thymidine exchange,thymd[e] --> ,0.0,0.0
63,EX_urea(e),Urea exchange,urea[e] <=> ,0.0,0.0
64,EX_uri(e),Uridine exchange,uri[e] --> ,0.0,0.0
65,EX_val-L(e),L-Valine exchange,val-L[e] --> ,0.0,-42.09018867924499
66,sink_4hpro-LT(m),sink_4hpro-LT(m) Astrocyte,4hpro-LT[mA] --> ,0.0,-32.204905660377115
67,sink_amet,sink_amet Astrocyte,amet[cA] --> ,0.0,0.0
68,sink_decdp,all trans Decaprenyl diphosphate sink Astrocyte,decdp[cA] --> ,0.0,0.0
69,sink_dhf(c),sink_dhf(c) Astrocyte,dhf[cA] --> ,0.0,0.0
70,sink_dmgly,"N,N-Dimethylglycine sink Astrocyte",dmgly[cA] --> ,0.0,-15.976981132075391
71,sink_tyr-L(m),sink_tyr-L(m) Astrocyte,tyr-L[mA] --> ,0.0,-75.61528301886754
72,10FTHF5GLUtm,"5-glutamyl-10FTHF transport, mitochondrial Astrocyte",10fthf5glu[mA] --> 10fthf5glu[cA],0.0,0.0
73,10FTHF6GLUtm,"6-glutamyl-10FTHF transport, mitochondrial Astrocyte",10fthf6glu[mA] --> 10fthf6glu[cA],0.0,0.0
74,10FTHF7GLUtm,"7-glutamyl-10FTHF transport, mitochondrial Astrocyte",10fthf7glu[mA] --> 10fthf7glu[cA],0.0,0.0
75,10FTHFtm,10-Formyltetrahydrofolate mitochondrial transport via diffusion Astrocyte,10fthf[cA] <=> 10fthf[mA],0.0,-0.0
76,"1a,24,25VITD2Hm","1-alpha-Vitamin D-24,25-hydroxylase (D2) Astrocyte",2425dhvitd2[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a2425thvitd2[mA] + h2o[mA] + nadp[mA],0.0,-4.20490566037733
77,"1a,24,25VITD3Hm","1-alpha-Vitamin D-24,25-hydroxylase (D3) Astrocyte",2425dhvitd3[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a2425thvitd3[mA] + h2o[mA] + nadp[mA],0.0,-4.20490566037733
78,"1a,25VITD2Hm","1-alpha,24R,25-Vitamin D-hydroxylase (D2) Astrocyte",1a25dhvitd2[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a2425thvitd2[mA] + h2o[mA] + nadp[mA],0.0,-4.20490566037733
79,"1a,25VITD3Hm","1-alpha,24R,25-Vitamin D-hydroxylase (D3) Astrocyte",1a25dhvitd3[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a2425thvitd3[mA] + h2o[mA] + nadp[mA],0.0,-4.20490566037733
80,"24,25VITD2Hm",24R-Vitamin D-25-hydroxylase (D2) Astrocyte,25hvitd2[mA] + h[mA] + nadph[mA] + o2[mA] --> 2425dhvitd2[mA] + h2o[mA] + nadp[mA],0.0,-9.704905660377298
81,"24,25VITD3Hm",24R-Vitamin D-25-hydroxylase (D3) Astrocyte,25hvitd3[mA] + h[mA] + nadph[mA] + o2[mA] --> 2425dhvitd3[mA] + h2o[mA] + nadp[mA],0.0,-9.704905660377298
82,25HVITD2t,25-hydroxyvitamin D2 transport from cytoplasm Astrocyte,25hvitd2[cA] --> 25hvitd2[e],0.0,2.6645352591003757e-15
83,25HVITD2tin,25-hydroxyvitamin D2 transport in cytoplasm Astrocyte,25hvitd2[e] --> 25hvitd2[cA],0.0,-1.3322676295501878e-15
84,25HVITD2tin_m,25-hydroxyvitamin D2 transport in mitochondria Astrocyte,25hvitd2[cA] --> 25hvitd2[mA],0.0,2.6645352591003757e-15
85,25HVITD2tm,25-hydroxyvitamin D2 transport from mitochondria Astrocyte,25hvitd2[mA] --> 25hvitd2[cA],0.0,-1.3322676295501878e-15
86,25HVITD3t,25-hydroxyvitamin D3 transport from cytoplasm Astrocyte,25hvitd3[cA] --> 25hvitd3[e],0.0,2.6645352591003757e-15
87,25HVITD3tin,25-hydroxyvitamin D3 transport in cytoplasm Astrocyte,25hvitd3[e] --> 25hvitd3[cA],0.0,-1.3322676295501878e-15
88,25HVITD3tin_m,25-hydroxyvitamin D3 transport in mitochondria Astrocyte,25hvitd3[cA] --> 25hvitd3[mA],0.0,2.6645352591003757e-15
89,25HVITD3tm,25-hydroxyvitamin D3 transport from mitochondria Astrocyte,25hvitd3[mA] --> 25hvitd3[cA],0.0,-1.3322676295501878e-15
90,25VITD2Hm,1-alpha-Vitamin D-25-hydroxylase (D2) Astrocyte,25hvitd2[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a25dhvitd2[mA] + h2o[mA] + nadp[mA],0.0,-9.704905660377298
91,25VITD3Hm,1-alpha-Vitamin D-25-hydroxylase (D3) Astrocyte,25hvitd3[mA] + h[mA] + nadph[mA] + o2[mA] --> 1a25dhvitd3[mA] + h2o[mA] + nadp[mA],0.0,-9.704905660377298
92,2AMADPTm,L-2-aminoadipate shuttle (cytosol/mitochondria) Astrocyte,L2aadp[cA] + akg[mA] <=> L2aadp[mA] + akg[cA],0.0,0.0
93,2OXOADOXm,2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria) Astrocyte,2oxoadp[mA] + coa[mA] + nad[mA] --> co2[mA] + glutcoa[mA] + nadh[mA],0.0,-3.552713678800501e-15
94,2OXOADPTm,2-oxoadipate shuttle (cytosol/mitochondria) Astrocyte,2oxoadp[cA] + akg[mA] <=> 2oxoadp[mA] + akg[cA],0.0,0.0
95,34HPLFM,3-(4-hydroxyphenyl-)lactate formation Astrocyte,34hpp[mA] + h[mA] + nadh[mA] --> 34hpl[mA] + nad[mA],0.0,-7.216449660063518e-16
96,3AIBTm,"L-3-aminoisobutyrate transaminase, mitochondrial Astrocyte",2mop[mA] + glu-L[mA] <=> 3aib[mA] + akg[mA],1.1743200289695877e-28,0.0
97,3AIBt,3-amino-isobutyrate transport Astrocyte,3aib[cA] --> 3aib[e],0.0,0.0
98,3AIBtm,"3-amino-isobutyrate transport, mitochondrial Astrocyte",3aib[mA] --> 3aib[cA],0.0,-1.5711320754716844
99,3DPHBH1,Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADH) Astrocyte,3dphb[mA] + h[mA] + nadh[mA] + o2[mA] --> 3dpdhb[mA] + h2o[mA] + nad[mA],0.0,-62.58257861635166
100,3DPHBH2,Hydroxylation of 3-Decaprenyl-4-hydroxybenzoate (NADPH) Astrocyte,3dphb[mA] + h[mA] + nadph[mA] + o2[mA] --> 3dpdhb[mA] + h2o[mA] + nadp[mA],0.0,-62.96484276729507
101,3HBCDm,"3-hydroxybutyryl-CoA dehydratase, mitochondrial Astrocyte",b2coa[mA] + h2o[mA] <=> 3hbcoa-R[mA],0.0,8.881784197001252e-16
102,3HBCOAHLm,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial Astrocyte",3hibutcoa[mA] + h2o[mA] --> 3hmp[mA] + coa[mA] + h[mA],1.1743200289695877e-28,-2.831068712794149e-15
103,3SALAASPm,cysteinesulfinate-aspartate mitochondrial shuttle Astrocyte,3sala[mA] + asp-L[cA] <=> 3sala[cA] + asp-L[mA],0.0,0.0
104,3SALATAim,"3-sulfino-alanine transaminase (irreversible), mitochondrial Astrocyte",3sala[mA] + akg[mA] + h[mA] --> 3snpyr[mA] + glu-L[mA],0.0,1.6653345369377348e-16
105,3SPYRSPm,"3-sulfinopyruvate hydrolase (spotaneous reaction), mitochondrial Astrocyte",3snpyr[mA] + h2o[mA] --> h[mA] + pyr[mA] + so3[mA],0.0,-1.0547118733938987e-15
106,4ABUTtm,4-aminobutanoate mitochondrial transport via diffusion Astrocyte,4abut[cA] <=> 4abut[mA],0.0,0.0
107,4HBZCOAFm,4-hydroxybenzoyl-CoA formation Astrocyte,coa[mA] + coucoa[mA] + h2o[mA] + nad[mA] --> 4hbzcoa[mA] + accoa[mA] + h[mA] + nadh[mA],0.0,4.274358644806853e-15
108,4HBZFm,4-hydroxybenzoate formation Astrocyte,4hbzcoa[mA] + h2o[mA] --> 4hbz[mA] + coa[mA] + h[mA],0.0,-2.831068712794149e-15
109,4HGLSDm,"L-4-hydroxyglutamate semialdehyde dehydrogenase, mitochondrial Astrocyte",4hglusa[mA] + h2o[mA] + nad[mA] <=> e4hglu[mA] + 2.0 h[mA] + nadh[mA],0.0,-3.3306690738754696e-16
110,5AOPtm,5-Aminolevulinate mitochondrial transport Astrocyte,5aop[cA] <=> 5aop[mA],0.0,-0.0
111,5HOXINDACTOXm,5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase (mito) Astrocyte,5hoxindact[mA] + h2o[mA] + nad[mA] --> 5hoxindoa[mA] + 2.0 h[mA] + nadh[mA],0.0,1.1102230246251565e-16
112,5THFtm,"5-glutamyl-THF transport,m mitochondrial Astrocyte",5thf[mA] --> 5thf[cA],0.0,0.0
113,6DHFtm,"6-glutamyl-DHF transport,m mitochondrial Astrocyte",6dhf[mA] --> 6dhf[cA],0.0,0.0
114,6THFtm,"6-glutamyl-THF transport,m mitochondrial Astrocyte",6thf[mA] --> 6thf[cA],0.0,0.0
115,7DHFtm,"7-glutamyl-DHF transport,m mitochondrial Astrocyte",7dhf[mA] --> 7dhf[cA],0.0,0.0
116,7THFtm,"7-glutamyl-THF transport,m mitochondrial Astrocyte",7thf[mA] --> 7thf[cA],0.0,0.0
117,AACOAT,Acetoacetyl-CoA:acetate CoA-transferase Astrocyte,acac[cA] + atp[cA] + coa[cA] <=> aacoa[cA] + amp[cA] + ppi[cA],0.0,0.0
118,AACTOOR,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing) Astrocyte,aact[cA] + h2o[cA] + o2[cA] --> h2o2[cA] + mthgxl[cA] + nh4[cA],0.0,-9.020562075079397e-16
119,AACTtm,Aminoacetone transport (mitochondrial) Astrocyte,aact[mA] --> aact[cA],0.0,0.0
120,AASAD3m,"L-aminoadipate-semialdehyde dehydrogenase (NADH), mitochondrial Astrocyte",L2aadp6sa[mA] + h2o[mA] + nad[mA] --> L2aadp[mA] + 2.0 h[mA] + nadh[mA],0.0,-0.6292452830188597
121,AATAi,"2-aminoadipate transaminase, irreversible Astrocyte",L2aadp[cA] + akg[cA] --> 2oxoadp[cA] + glu-L[cA],0.0,3.552713678800501e-15
122,ABTArm,"4-aminobutyrate transaminase, reversible (mitochondrial) Astrocyte",4abut[mA] + akg[mA] <=> glu-L[mA] + sucsal[mA],0.0,0.0
123,ABUTt2r,4-aminobutyrate reversible transport in via proton symport Astrocyte,4abut[e] + h[e] <=> 4abut[cA] + h[cA],0.0,-3.3280069439011436e-31
124,ACACT10m,"acetyl-CoA C-acetyltransferase, mitochondrial Astrocyte",2maacoa[mA] + coa[mA] <=> accoa[mA] + ppcoa[mA],-3.3239282164113625e-29,0.0
125,ACACT1r,acetyl-CoA C-acetyltransferase Astrocyte,2.0 accoa[cA] <=> aacoa[cA] + coa[cA],0.0,-0.0
126,ACACT1rm,"acetyl-CoA C-acetyltransferase, mitochondrial Astrocyte",2.0 accoa[mA] <=> aacoa[mA] + coa[mA],0.0,-0.0
127,ACACt2,acetoacetate transport via proton symport Astrocyte,acac[e] + h[e] <=> acac[cA] + h[cA],0.0,-3.3280069439011436e-31
128,ACACt2m,Acetoacetate mitochondrial transport via H+ symport Astrocyte,acac[cA] + h[cA] <=> acac[mA] + h[mA],0.0,-1.6653345369377314e-16
129,ACALDt,acetaldehyde reversible transport Astrocyte,acald[e] <=> acald[cA],0.0,0.0
130,ACALDtm,acetaldehyde mitochondrial diffusion Astrocyte,acald[mA] <=> acald[cA],0.0,-0.0
131,ACCOALm,acetate-CoA ligase (AMP-forming) Astrocyte,atp[mA] + coa[mA] + ppa[mA] --> amp[mA] + ppcoa[mA] + ppi[mA],0.0,-7.105427357601002e-15
132,ACOAD10m,"acyl-CoA dehydrogenase (2-methylbutanoyl-CoA), mitochondrial Astrocyte",2mbcoa[mA] + fad[mA] --> 2mb2coa[mA] + fadh2[mA],-3.3239282164113625e-29,4.440892098500626e-15
133,ACOAD1fm,"acyl-CoA dehydrogenase (butanoyl-CoA), mitochondrial Astrocyte",btcoa[mA] + fad[mA] --> b2coa[mA] + fadh2[mA],0.0,0.0
134,ACOAD8m,"acyl-CoA dehydrogenase (isovaleryl-CoA), mitochondrial Astrocyte",fad[mA] + ivcoa[mA] --> 3mb2coa[mA] + fadh2[mA],0.0,0.0
135,ACOAD9m,"acyl-CoA dehydrogenase (isobutyryl-CoA), mitochondrial Astrocyte",fad[mA] + ibcoa[mA] --> 2mp2coa[mA] + fadh2[mA],1.1743200289695877e-28,-4.440892098500626e-16
136,ACONTm,Aconitate hydratase Astrocyte,cit[mA] <=> icit[mA],1.7377827512850618e-15,0.0
137,ACRNtm,O-acetylcarnintine transport into mitochondria via diffusion Astrocyte,acrn[cA] --> acrn[mA],0.0,0.0
138,ACSm,acetyl-CoA synthetase Astrocyte,ac[mA] + atp[mA] + coa[mA] --> accoa[mA] + amp[mA] + ppi[mA],0.0,0.0
139,ACYP,acylphosphatase Astrocyte,13dpg[cA] + h2o[cA] --> 3pg[cA] + h[cA] + pi[cA],0.0,-1.2600000000000127
140,ACt2m,acetate mitochondrial transport via proton symport Astrocyte,ac[cA] + h[cA] <=> ac[mA] + h[mA],0.0,-1.6653345369377314e-16
141,ACt2r,acetate reversible transport via proton symport Astrocyte,ac[e] + h[e] <=> ac[cA] + h[cA],0.0,-3.3280069439011436e-31
142,ADCim,"Acetoacetate decarboxylation (irreversible), mitochondrial Astrocyte",acac[mA] + h[mA] --> acetone[mA] + co2[mA],0.0,1.6653345369377348e-16
143,ADK1,adenylate kinase Astrocyte,amp[cA] + atp[cA] <=> 2.0 adp[cA],0.0,0.0
144,ADK1m,"adenylate kinase, mitochondrial Astrocyte",amp[mA] + atp[mA] <=> 2.0 adp[mA],-2.7245869020876453e-14,0.0
145,ADK3m,adentylate kinase (GTP) Astrocyte,amp[mA] + gtp[mA] <=> adp[mA] + gdp[mA],0.0,0.0
146,ADPRDPm,ADPribose diphosphatase (mitochondrial) Astrocyte,adprib[mA] + h2o[mA] --> amp[mA] + 2.0 h[mA] + r5p[mA],0.0,-0.7645283018867832
147,AGMTm,agmatinase (m) Astrocyte,agm[mA] + h2o[mA] --> ptrc[mA] + urea[mA],0.0,0.0
148,AGPRim,"N-acetyl-g-glutamyl-phosphate reductase, irreversible, mitochondrial Astrocyte",acg5p[mA] + h[mA] + nadph[mA] --> acg5sa[mA] + nadp[mA] + pi[mA],0.0,1.6653345369377348e-16
149,AGTim,"alanine-glyoxylate transaminase (irreversible), mitochondrial Astrocyte",ala-L[mA] + glx[mA] --> gly[mA] + pyr[mA],9.209857892287042e-15,0.0
150,AKGDm,2-oxoglutarate dehydrogenase Astrocyte,akg[mA] + coa[mA] + nad[mA] --> co2[mA] + nadh[mA] + succoa[mA],0.0,-3.5741509433962406
151,AKGMALtm,alpha-ketoglutarate/malate transporter Astrocyte,akg[mA] + mal-L[cA] <=> akg[cA] + mal-L[mA],1.5987211554602254e-14,0.0
152,ALASm,5-aminolevulinate synthase Astrocyte,gly[mA] + h[mA] + succoa[mA] --> 5aop[mA] + co2[mA] + coa[mA],0.0,-3.3861802251067274e-15
153,ALCD2if,"alcohol dehydrogenase, forward rxn (ethanol -> acetaldehyde) Astrocyte",etoh[cA] + nad[cA] --> acald[cA] + h[cA] + nadh[cA],0.0,-3.3280069439011436e-31
154,ALCD2yf,"alcohol dehydrogenase (ethanol, NADP), forward reaction Astrocyte",etoh[cA] + nadp[cA] --> acald[cA] + h[cA] + nadph[cA],0.0,-7.4403773584905295
155,ALDD20xm,"aldehyde dehydrogenase (indole-3-acetaldehyde, NAD), mitochondrial Astrocyte",h2o[mA] + id3acald[mA] + nad[mA] --> 2.0 h[mA] + ind3ac[mA] + nadh[mA],0.0,1.1102230246251565e-16
156,ALDD2x,"aldehyde dehydrogenase (acetaldehyde, NAD) Astrocyte",acald[cA] + h2o[cA] + nad[cA] --> ac[cA] + 2.0 h[cA] + nadh[cA],0.0,8.743006318923101e-16
157,ALDD2xm,"aldehyde dehydrogenase (acetylaldehyde, NAD), mitochondrial Astrocyte",acald[mA] + h2o[mA] + nad[mA] --> ac[mA] + 2.0 h[mA] + nadh[mA],0.0,-3.617735849056605
158,ALDD2y,"aldehyde dehydrogenase (acetaldehyde, NADP) Astrocyte",acald[cA] + h2o[cA] + nadp[cA] --> ac[cA] + 2.0 h[cA] + nadph[cA],0.0,-7.440377358490528
159,ALR,Aldose reductase Astrocyte,h2o[cA] + mthgxl[cA] + nadp[cA] --> 2.0 h[cA] + nadph[cA] + pyr[cA],0.0,-9.204905660377255
160,AMETt2m,"S-Adenosyl-L-methionine reversible transport, mitochondrial Astrocyte",ahcys[mA] + amet[cA] <=> ahcys[cA] + amet[mA],0.0,0.0
161,AOBUTDsm,"L-2-amino-3-oxobutanoate decarboxylation, mitochondrial  (spontaneous) Astrocyte",2aobut[mA] + h[mA] --> aact[mA] + co2[mA],0.0,1.6653345369377348e-16
162,APAT2rm,3-Aminopropanoate:2-oxoglutarate aminotransferase (m) Astrocyte,akg[mA] + ala-B[mA] <=> glu-L[mA] + msa[mA],0.0,0.0
163,APOC_LYS_BTNPm,"proteolysis of apoC-Lys-btn, mitochondrial Astrocyte",apoC-Lys_btn[mA] + h2o[mA] --> apoC[mA] + biocyt[mA],0.0,8.881784197001252e-16
164,APOCFm,"Apocarboxylase formation, mitochondrial Astrocyte",apoC[mA] + lys-L[mA] --> apoC-Lys[mA] + h2o[mA] + h[mA],0.0,-1.0547118733938987e-15
165,ARGDCm,arginine decarboxylase (m) Astrocyte,arg-L[mA] + h[mA] --> agm[mA] + co2[mA],0.0,2.3037127760972e-15
166,ARGLYSex,Arginine/Lysine exchanger (Arg in) Astrocyte,arg-L[e] + lys-L[cA] --> arg-L[cA] + lys-L[e],0.0,0.0
167,ARGtiDF,L-arginine transport via diffusion (extracellular to cytosol) Astrocyte,arg-L[e] --> arg-L[cA],0.0,-2.7755575615628914e-16
168,ARGtm,arginine mitochondrial transport via ornithine carrier Astrocyte,arg-L[cA] + h[mA] <=> arg-L[mA] + h[cA],0.0,-4.718447854656918e-16
169,ASNNm,L-asparaginase (mitochondrial) Astrocyte,asn-L[mA] + h2o[mA] --> asp-L[mA] + nh4[mA],0.0,-1.7763568394002505e-14
170,ASNt4,L-asparagine transport in via sodium symport Astrocyte,asn-L[e] + na1[e] --> asn-L[cA] + na1[cA],0.0,-0.5116981132075394
171,ASNtm,"L-asparagine transport, mitochondrial Astrocyte",asn-L[cA] --> asn-L[mA],0.0,0.0
172,ASPGLUm,aspartate-glutamate mitochondrial shuttle Astrocyte,asp-L[mA] + glu-L[cA] + h[cA] --> asp-L[cA] + glu-L[mA] + h[mA],0.0,-4.000000000000011
173,ASPTA,aspartate transaminase Astrocyte,akg[cA] + asp-L[cA] <=> glu-L[cA] + oaa[cA],0.0,3.552713678800501e-15
174,ASPTAm,aspartate transaminase Astrocyte,akg[mA] + asp-L[mA] <=> glu-L[mA] + oaa[mA],0.0,-0.0
175,ATPS4m,ATP synthase (four protons for one ATP) Astrocyte,adp[mA] + 4.0 h[cA] + pi[mA] --> atp[mA] + h2o[mA] + 3.0 h[mA],-4.796163466380676e-14,1.3312027775604574e-30
176,ATPtm,"ADP/ATP transporter, mitochondrial Astrocyte",adp[cA] + atp[mA] --> adp[mA] + atp[cA],0.0,-0.2690566037735569
177,BACCLm,"biotin-[acetyl-CoA-carboxylase] ligase, mitochondrial Astrocyte",atp[mA] + btn[mA] + h[mA] --> btamp[mA] + ppi[mA],0.0,1.6653345369377348e-16
178,BALAVECSEC,B-alanine secretion via secretory vesicle (ATP driven) Astrocyte,3.0 ala-B[cA] + atp[cA] + h2o[cA] --> adp[cA] + 3.0 ala-B[e] + h[cA] + pi[cA],0.0,3.1086244689504383e-15
179,BALAtmr,Beta-alanine reversible mitochondrial transport (diffusion) Astrocyte,ala-B[cA] <=> ala-B[mA],0.0,0.0
180,BAMPPALDOXm,beta-Aminopropion aldehyde:NAD+ oxidoreductase (m) Astrocyte,bamppald[mA] + h2o[mA] + nad[mA] --> ala-B[mA] + 2.0 h[mA] + nadh[mA],0.0,-3.3306690738754696e-16
181,BDHm,(R)-3-Hydroxybutanoate:NAD+ oxidoreductase Astrocyte,bhb[mA] + nad[mA] <=> acac[mA] + h[mA] + nadh[mA],0.0,7.216449660063518e-16
182,BETALDHxm,"betaine-aldehyde dehydrogenase, mitochondrial Astrocyte",betald[mA] + h2o[mA] + nad[mA] --> glyb[mA] + 2.0 h[mA] + nadh[mA],0.0,1.1102230246251565e-16
183,BHBt,(R)-3-Hydroxybutanoate transport via H+ symport Astrocyte,bhb[e] + h[e] <=> bhb[cA] + h[cA],0.0,-3.3280069439011436e-31
184,BHBtm,(R)-3-Hydroxybutanoate mitochondrial transport via H+ symport Astrocyte,bhb[cA] + h[cA] <=> bhb[mA] + h[mA],0.0,-1.6653345369377314e-16
185,BTNDm,"biotinidase (biotin), mitochondrial Astrocyte",biocyt[mA] + h2o[mA] --> btn[mA] + lys-L[mA],0.0,8.881784197001252e-16
186,BTNPLm,"holocarboxylase synthestase (biotin protein ligase), mitochondrial Astrocyte",apoC-Lys[mA] + btamp[mA] --> amp[mA] + apoC-Lys_btn[mA] + h[mA],0.0,3.3306690738754696e-16
187,BTNt2,Biotin reversible transport via proton symport Astrocyte,btn[e] + h[e] <=> btn[cA] + h[cA],-8.43769498715119e-14,-3.3280069439011436e-31
188,BTNt2m,"Biotin reversible transport via proton symport, mitochondria Astrocyte",btn[cA] + h[cA] <=> btn[mA] + h[mA],0.0,3.3280069439011436e-31
189,BTNt4i,Biotin uptake (antiport) Astrocyte,btn[e] + h[cA] --> btn[cA] + h[e],8.43769498715119e-14,3.3280069439011436e-31
190,C160CPT2,C160 transport into the mitochondria Astrocyte,coa[mA] + pmtcrn[mA] --> crn[mA] + pmtcoa[mA],0.0,0.0
191,C160CRNt,C160 transport into the mitochondria Astrocyte,pmtcrn[cA] --> pmtcrn[mA],0.0,0.0
